#Turn	Emit_x
111	4.186640e-06
112	4.245890e-06
113	3.702618e-06
114	4.260385e-06
115	4.265650e-06
116	3.727102e-06
117	4.320668e-06
118	4.282594e-06
119	3.745670e-06
120	4.367970e-06
121	4.299035e-06
122	3.759432e-06
123	4.403840e-06
124	4.318085e-06
125	3.770380e-06
126	4.430404e-06
127	4.343366e-06
128	3.781200e-06
129	4.450002e-06
130	4.378781e-06
131	3.795173e-06
132	4.464904e-06
133	4.428268e-06
134	3.816059e-06
135	4.476999e-06
136	4.495378e-06
137	3.847801e-06
138	4.487305e-06
139	4.582454e-06
140	3.893854e-06
141	4.495139e-06
142	4.689198e-06
143	3.956017e-06
144	4.496906e-06
145	4.810559e-06
146	4.032896e-06
147	4.484876e-06
148	4.934359e-06
149	4.118672e-06
150	4.447087e-06
151	5.039998e-06
152	4.203550e-06
153	4.370429e-06
154	5.100692e-06
155	4.277721e-06
156	4.249011e-06
157	5.091985e-06
158	4.339836e-06
159	4.096929e-06
160	5.006370e-06
161	4.407422e-06
162	3.957164e-06
163	4.865084e-06
164	4.518901e-06
165	3.891265e-06
166	4.707059e-06
167	4.707609e-06
168	3.941219e-06
169	4.546811e-06
170	4.940947e-06
171	4.087248e-06
172	4.351493e-06
173	5.093413e-06
174	4.260105e-06
175	4.108593e-06
176	5.050287e-06
177	4.427123e-06
178	3.913454e-06
179	4.843057e-06
180	4.655405e-06
181	3.907361e-06
182	4.577526e-06
183	4.963689e-06
184	4.099483e-06
185	4.258320e-06
186	5.111204e-06
187	4.347095e-06
188	3.951442e-06
189	4.935339e-06
190	4.620238e-06
191	3.887999e-06
192	4.593391e-06
193	4.987947e-06
194	4.123599e-06
195	4.172242e-06
196	5.103600e-06
197	4.435695e-06
198	3.875250e-06
199	4.807692e-06
200	4.814997e-06
201	3.988916e-06
202	4.334196e-06
203	5.124819e-06
204	4.347809e-06
205	3.905730e-06
206	4.901417e-06
207	4.748838e-06
208	3.947976e-06
209	4.377611e-06
210	5.126133e-06
211	4.343148e-06
212	3.893687e-06
213	4.891753e-06
214	4.790474e-06
215	3.978343e-06
216	4.294120e-06
217	5.137128e-06
218	4.420485e-06
219	3.851146e-06
220	4.780069e-06
221	4.927713e-06
222	4.090992e-06
223	4.102177e-06
224	5.094456e-06
225	4.572691e-06
226	3.859618e-06
227	4.545338e-06
228	5.097963e-06
229	4.288076e-06
230	3.897081e-06
231	4.919450e-06
232	4.817678e-06
233	4.008593e-06
234	4.192466e-06
235	5.128940e-06
236	4.528846e-06
237	3.844493e-06
238	4.587106e-06
239	5.090135e-06
240	4.281930e-06
241	3.890400e-06
242	4.914018e-06
243	4.840639e-06
244	4.030677e-06
245	4.145274e-06
246	5.115795e-06
247	4.571910e-06
248	3.858571e-06
249	4.511050e-06
250	5.122238e-06
251	4.339874e-06
252	3.857663e-06
253	4.844354e-06
254	4.913342e-06
255	4.091838e-06
256	4.064125e-06
257	5.079215e-06
258	4.632195e-06
259	3.887262e-06
260	4.427102e-06
261	5.139227e-06
262	4.384645e-06
