#Turn	Emit_x
241	3.569706e-06
242	4.180453e-06
243	4.787628e-06
244	4.043396e-06
245	3.559549e-06
246	4.491360e-06
247	4.613763e-06
248	3.819005e-06
249	3.723014e-06
250	4.715262e-06
251	4.366212e-06
252	3.625225e-06
253	4.023731e-06
254	4.807718e-06
255	4.143726e-06
256	3.542862e-06
257	4.356424e-06
258	4.710907e-06
259	3.919850e-06
260	3.632980e-06
261	4.631107e-06
262	4.464137e-06
263	3.690932e-06
264	3.909283e-06
265	4.793095e-06
266	4.205232e-06
267	3.552629e-06
268	4.281435e-06
269	4.741458e-06
270	3.953676e-06
271	3.620570e-06
272	4.609521e-06
273	4.465834e-06
274	3.687159e-06
275	3.940547e-06
276	4.795121e-06
277	4.160054e-06
278	3.552213e-06
279	4.371890e-06
280	4.667520e-06
281	3.854301e-06
282	3.733837e-06
283	4.713150e-06
284	4.300439e-06
285	3.587048e-06
286	4.199230e-06
287	4.751568e-06
288	3.954025e-06
289	3.657729e-06
290	4.640076e-06
291	4.365454e-06
292	3.618088e-06
293	4.142905e-06
294	4.761419e-06
295	3.967088e-06
296	3.666210e-06
297	4.640689e-06
298	4.331978e-06
299	3.603263e-06
300	4.211797e-06
301	4.717177e-06
302	3.892476e-06
303	3.765891e-06
304	4.715219e-06
305	4.201736e-06
306	3.577238e-06
307	4.388518e-06
308	4.554005e-06
309	3.735515e-06
310	4.007029e-06
311	4.770023e-06
312	4.002836e-06
313	3.687122e-06
314	4.633945e-06
315	4.247838e-06
316	3.590328e-06
317	4.351878e-06
318	4.542810e-06
319	3.729548e-06
320	4.068543e-06
321	4.747084e-06
322	3.937099e-06
323	3.804136e-06
324	4.708007e-06
325	4.107613e-06
326	3.629915e-06
327	4.517406e-06
328	4.289681e-06
329	3.610896e-06
330	4.319470e-06
331	4.511089e-06
332	3.720110e-06
333	4.151252e-06
334	4.690842e-06
335	3.865188e-06
336	3.990521e-06
337	4.750299e-06
338	3.978183e-06
339	3.833212e-06
340	4.691281e-06
341	4.052829e-06
342	3.702296e-06
343	4.569596e-06
344	4.118149e-06
345	3.623429e-06
346	4.443697e-06
347	4.199838e-06
348	3.605989e-06
349	4.347165e-06
350	4.302917e-06
351	3.640549e-06
352	4.287997e-06
353	4.416578e-06
354	3.707657e-06
355	4.259938e-06
356	4.526331e-06
357	3.787866e-06
358	4.253108e-06
359	4.621989e-06
360	3.867240e-06
361	4.259544e-06
362	4.699548e-06
363	3.938295e-06
364	4.274659e-06
365	4.759725e-06
366	3.998635e-06
367	4.296764e-06
368	4.805807e-06
369	4.049133e-06
370	4.326130e-06
371	4.841992e-06
372	4.092479e-06
373	4.364160e-06
374	4.872404e-06
375	4.132225e-06
376	4.412778e-06
377	4.900597e-06
378	4.172165e-06
379	4.473942e-06
380	4.929269e-06
381	4.215839e-06
382	4.549127e-06
383	4.960004e-06
384	4.265992e-06
385	4.638717e-06
386	4.992928e-06
387	4.323940e-06
388	4.741284e-06
389	5.026303e-06
390	4.388865e-06
391	4.852885e-06
392	5.056187e-06
393	4.457269e-06
394	4.966620e-06
395	5.076413e-06
396	4.522908e-06
397	5.072807e-06
398	5.079205e-06
399	4.577561e-06
400	5.160104e-06
401	5.056670e-06
402	4.612892e-06
403	5.217689e-06
404	5.003170e-06
405	4.623204e-06
406	5.238209e-06
407	4.918092e-06
408	4.608435e-06
409	5.220644e-06
410	4.808104e-06
411	4.576192e-06
412	5.171941e-06
413	4.687707e-06
414	4.541610e-06
415	5.106309e-06
416	4.577157e-06
417	4.524287e-06
418	5.041780e-06
419	4.497649e-06
420	4.542592e-06
421	4.994613e-06
422	4.464764e-06
423	4.606865e-06
424	4.973239e-06
425	4.482269e-06
426	4.713948e-06
427	4.974131e-06
428	4.538950e-06
429	4.845628e-06
430	4.981873e-06
431	4.610761e-06
432	4.972733e-06
433	4.974537e-06
434	4.668883e-06
435	5.064557e-06
436	4.933263e-06
437	4.691428e-06
438	5.100578e-06
439	4.852382e-06
440	4.673832e-06
441	5.079293e-06
442	4.744958e-06
443	4.632384e-06
444	5.019333e-06
445	4.639808e-06
446	4.597941e-06
447	4.951367e-06
448	4.570021e-06
449	4.601740e-06
450	4.903962e-06
451	4.557704e-06
452	4.659734e-06
453	4.890086e-06
454	4.602313e-06
455	4.763220e-06
456	4.901097e-06
457	4.679044e-06
458	4.880956e-06
459	4.911836e-06
460	4.749396e-06
461	4.972683e-06
462	4.895037e-06
463	4.779803e-06
464	5.008129e-06
465	4.838021e-06
466	4.759055e-06
467	4.981862e-06
468	4.752375e-06
469	4.704703e-06
470	4.915644e-06
471	4.670171e-06
472	4.653984e-06
473	4.846514e-06
474	4.627725e-06
475	4.643611e-06
476	4.806950e-06
477	4.645464e-06
478	4.689393e-06
479	4.808025e-06
480	4.715197e-06
481	4.776946e-06
482	4.834862e-06
483	4.802485e-06
484	4.868647e-06
485	4.856863e-06
486	4.863738e-06
487	4.923325e-06
488	4.847133e-06
489	4.869269e-06
490	4.918132e-06
491	4.800034e-06
492	4.819428e-06
493	4.860446e-06
494	4.736311e-06
495	4.744256e-06
496	4.783007e-06
497	4.692126e-06
498	4.686523e-06
499	4.725329e-06
500	4.698068e-06
501	4.677875e-06
502	4.712248e-06
503	4.760350e-06
504	4.721659e-06
505	4.741724e-06
506	4.855166e-06
507	4.791710e-06
508	4.788231e-06
509	4.939749e-06
510	4.847221e-06
511	4.819258e-06
512	4.974376e-06
513	4.855242e-06
514	4.815325e-06
515	4.943222e-06
516	4.808379e-06
517	4.781995e-06
518	4.862378e-06
519	4.728089e-06
520	4.746887e-06
521	4.770613e-06
522	4.652327e-06
523	4.743481e-06
524	4.708419e-06
525	4.615179e-06
526	4.791234e-06
527	4.697242e-06
528	4.629938e-06
529	4.883218e-06
530	4.729898e-06
531	4.684230e-06
532	4.987863e-06
533	4.776209e-06
534	4.748714e-06
535	5.063698e-06
536	4.799892e-06
537	4.793886e-06
538	5.079271e-06
539	4.777502e-06
540	4.805867e-06
541	5.027930e-06
542	4.709824e-06
543	4.793018e-06
544	4.930108e-06
545	4.620540e-06
546	4.780413e-06
547	4.822602e-06
548	4.543930e-06
549	4.795775e-06
550	4.741106e-06
551	4.508746e-06
552	4.854655e-06
553	4.705005e-06
554	4.526258e-06
555	4.952126e-06
556	4.711103e-06
557	4.587306e-06
558	5.064281e-06
559	4.737765e-06
560	4.668334e-06
561	5.158043e-06
562	4.756223e-06
563	4.742632e-06
564	5.204409e-06
565	4.743422e-06
566	4.791460e-06
567	5.189275e-06
568	4.690997e-06
569	4.810544e-06
570	5.117604e-06
571	4.607287e-06
572	4.809860e-06
573	5.010021e-06
574	4.512648e-06
575	4.807817e-06
576	4.894246e-06
577	4.431075e-06
578	4.823099e-06
579	4.795529e-06
580	4.382037e-06
581	4.867791e-06
582	4.729785e-06
583	4.375379e-06
584	4.943992e-06
585	4.701116e-06
586	4.410204e-06
587	5.044260e-06
588	4.703348e-06
589	4.477029e-06
590	5.154807e-06
591	4.723958e-06
592	4.561640e-06
593	5.259821e-06
594	4.748606e-06
595	4.649143e-06
596	5.345454e-06
597	4.764893e-06
598	4.727102e-06
599	5.402467e-06
600	4.764607e-06
601	4.787247e-06
602	5.427215e-06
603	4.744351e-06
604	4.825753e-06
605	5.421130e-06
606	4.704868e-06
607	4.842454e-06
608	5.389272e-06
609	4.649662e-06
610	4.839522e-06
611	5.338557e-06
612	4.583480e-06
613	4.820110e-06
614	5.276192e-06
615	4.511082e-06
616	4.787287e-06
617	5.208603e-06
618	4.436509e-06
619	4.743424e-06
620	5.140916e-06
621	4.362843e-06
622	4.689992e-06
623	5.076912e-06
624	4.292397e-06
625	4.627716e-06
626	5.019301e-06
627	4.227185e-06
628	4.556983e-06
629	4.970171e-06
630	4.169591e-06
631	4.478447e-06
632	4.931505e-06
633	4.123127e-06
634	4.393803e-06
635	4.905606e-06
636	4.093148e-06
637	4.306622e-06
638	4.895246e-06
639	4.087220e-06
640	4.222990e-06
641	4.903145e-06
642	4.114589e-06
643	4.151403e-06
644	4.930304e-06
645	4.183951e-06
646	4.101062e-06
647	4.972809e-06
648	4.299038e-06
649	4.077906e-06
650	5.017555e-06
651	4.452913e-06
652	4.079164e-06
653	5.039052e-06
654	4.624564e-06
655	4.090443e-06
656	5.001623e-06
657	4.783351e-06
658	4.092331e-06
659	4.872042e-06
660	4.903834e-06
661	4.080678e-06
662	4.644158e-06
663	4.982507e-06
664	4.090473e-06
665	4.365813e-06
666	5.037519e-06
667	4.190079e-06
668	4.136537e-06
669	5.077755e-06
670	4.414629e-06
671	4.034196e-06
672	5.055107e-06
673	4.697516e-06
674	4.027437e-06
675	4.870232e-06
676	4.927715e-06
677	4.053781e-06
678	4.498394e-06
679	5.063116e-06
680	4.181289e-06
681	4.129233e-06
682	5.111248e-06
683	4.492751e-06
684	3.992585e-06
685	4.999172e-06
686	4.845829e-06
687	4.020538e-06
688	4.596431e-06
689	5.071680e-06
690	4.176254e-06
691	4.112744e-06
692	5.127399e-06
693	4.561721e-06
694	3.968533e-06
695	4.913552e-06
696	4.955734e-06
697	4.058256e-06
698	4.337298e-06
699	5.140472e-06
700	4.390620e-06
701	3.962986e-06
702	5.029169e-06
703	4.870521e-06
704	4.018187e-06
705	4.450005e-06
706	5.142238e-06
707	4.349522e-06
708	3.957567e-06
709	5.043999e-06
710	4.876609e-06
711	4.020979e-06
712	4.397921e-06
713	5.159591e-06
714	4.420528e-06
715	3.931677e-06
716	4.973333e-06
717	4.971471e-06
718	4.078639e-06
719	4.200864e-06
720	5.167992e-06
721	4.598785e-06
722	3.933797e-06
723	4.757315e-06
724	5.105510e-06
725	4.234844e-06
726	3.977057e-06
727	5.096909e-06
728	4.853978e-06
729	4.014985e-06
730	4.345984e-06
731	5.180166e-06
732	4.526114e-06
733	3.915521e-06
734	4.815319e-06
735	5.098593e-06
736	4.228088e-06
737	3.968100e-06
738	5.093601e-06
739	4.880712e-06
740	4.031927e-06
741	4.271482e-06
742	5.183085e-06
743	4.599790e-06
744	3.925669e-06
745	4.699793e-06
746	5.143406e-06
747	4.319303e-06
748	3.919394e-06
749	5.017990e-06
750	4.979949e-06
751	4.099635e-06
752	4.112280e-06
753	5.163021e-06
754	4.727523e-06
755	3.963678e-06
756	4.509222e-06
757	5.176013e-06
758	4.439444e-06
759	3.906069e-06
760	4.903634e-06
761	5.059401e-06
762	4.174533e-06
763	4.015293e-06
764	5.126797e-06
765	4.813445e-06
766	3.997550e-06
767	4.396666e-06
768	5.178879e-06
769	4.491793e-06
770	3.914644e-06
771	4.863920e-06
772	5.066619e-06
773	4.177066e-06
774	4.028428e-06
775	5.129623e-06
776	4.776806e-06
777	3.982051e-06
778	4.499085e-06
779	5.159321e-06
780	4.384892e-06
781	3.931318e-06
782	4.995507e-06
783	4.951781e-06
784	4.064029e-06
785	4.248430e-06
786	5.164582e-06
787	4.531983e-06
788	3.936919e-06
789	4.875594e-06
790	5.020283e-06
791	4.112485e-06
792	4.163994e-06
793	5.152022e-06
794	4.572616e-06
795	3.950548e-06
796	4.859752e-06
797	5.009396e-06
798	4.098412e-06
799	4.214451e-06
800	5.145747e-06
801	4.491900e-06
802	3.961434e-06
803	4.961534e-06
804	4.916570e-06
805	4.038778e-06
806	4.424887e-06
807	5.115227e-06
808	4.291227e-06
809	4.023747e-06
810	5.093357e-06
811	4.693501e-06
812	3.993767e-06
813	4.804439e-06
814	4.986129e-06
815	4.077294e-06
816	4.330203e-06
817	5.100862e-06
818	4.301264e-06
819	4.044967e-06
820	5.090065e-06
821	4.634206e-06
822	4.014102e-06
823	4.912978e-06
824	4.894271e-06
825	4.046286e-06
826	4.570190e-06
827	5.021504e-06
828	4.122338e-06
829	4.238198e-06
830	5.070735e-06
831	4.303858e-06
832	4.075691e-06
833	5.078981e-06
834	4.550225e-06
835	4.056684e-06
836	5.017451e-06
837	4.763890e-06
838	4.073857e-06
839	4.860773e-06
840	4.892428e-06
841	4.075304e-06
842	4.638038e-06
843	4.945316e-06
844	4.074798e-06
845	4.413540e-06
846	4.960620e-06
847	4.103740e-06
848	4.243057e-06
849	4.972073e-06
850	4.176420e-06
851	4.148906e-06
852	4.994779e-06
853	4.284896e-06
854	4.122801e-06
855	5.028191e-06
856	4.410197e-06
857	4.142422e-06
858	5.065583e-06
859	4.533974e-06
860	4.185730e-06
861	5.101140e-06
862	4.644103e-06
863	4.237348e-06
864	5.132511e-06
865	4.735188e-06
866	4.289070e-06
867	5.160464e-06
868	4.806813e-06
869	4.338035e-06
870	5.187627e-06
871	4.861526e-06
872	4.384704e-06
873	5.217361e-06
874	4.903319e-06
875	4.431356e-06
876	5.253046e-06
877	4.936692e-06
878	4.481135e-06
879	5.297661e-06
880	4.966112e-06
881	4.537422e-06
882	5.353476e-06
883	4.995624e-06
884	4.603313e-06
885	5.421683e-06
886	5.028438e-06
887	4.681051e-06
888	5.501879e-06
889	5.066402e-06
890	4.771357e-06
891	5.591415e-06
892	5.109366e-06
893	4.872708e-06
894	5.684766e-06
895	5.154597e-06
896	4.980767e-06
897	5.773201e-06
898	5.196532e-06
899	5.088274e-06
900	5.845155e-06
901	5.227210e-06
902	5.185747e-06
903	5.887666e-06
904	5.237712e-06
905	5.263244e-06
906	5.888994e-06
907	5.220606e-06
908	5.313071e-06
909	5.842081e-06
910	5.172962e-06
911	5.332837e-06
912	5.747909e-06
913	5.099013e-06
914	5.327757e-06
915	5.617449e-06
916	5.011221e-06
917	5.310952e-06
918	5.470937e-06
919	4.928793e-06
